央视频道,#genre#
宁津综合[FHD],http://192.168.50.1:20231/rtp/239.21.2.50:5002
长岛[FHD],http://192.168.50.1:20231/rtp/239.21.2.52:5002
商河[FHD],http://192.168.50.1:20231/rtp/239.21.2.53:5002
蓬莱[FHD],http://192.168.50.1:20231/rtp/239.21.2.56:5002
黄岛新闻[FHD],http://192.168.50.1:20231/rtp/239.21.2.57:5002
黄岛生活[FHD],http://192.168.50.1:20231/rtp/239.21.2.58:5002
高密综合[FHD],http://192.168.50.1:20231/rtp/239.21.2.59:5002
胶州[FHD],http://192.168.50.1:20231/rtp/239.21.2.60:5002
东阿[FHD],http://192.168.50.1:20231/rtp/239.21.2.61:5002
临朐综合[FHD],http://192.168.50.1:20231/rtp/239.21.2.62:5002
兰陵综合,http://192.168.50.1:20231/rtp/239.21.1.237:5002
兰陵公共[FHD],http://192.168.50.1:20231/rtp/239.21.2.63:5002
海洋综合[FHD],http://192.168.50.1:20231/rtp/239.21.2.64:5002
海阳综艺[FHD],http://192.168.50.1:20231/rtp/239.21.2.65:5002
海阳综合[FHD],http://192.168.50.1:20231/rtp/239.21.2.68:5002
沂水综合[FHD],http://192.168.50.1:20231/rtp/239.21.2.79:5002
沂水生活[FHD],http://192.168.50.1:20231/rtp/239.21.2.80:5002
济宁高新[FHD],http://192.168.50.1:20231/rtp/239.21.2.83:5002
嘉祥新闻[FHD],http://192.168.50.1:20231/rtp/239.21.2.84:5002
潍坊影视综艺[FHD],http://192.168.50.1:20231/rtp/239.21.2.88:5002
潍坊科教文旅[FHD],http://192.168.50.1:20231/rtp/239.21.2.89:5002
崂山[FHD],http://192.168.50.1:20231/rtp/239.21.2.122:5002
临清综合[FHD],http://192.168.50.1:20231/rtp/239.21.2.123:5002
临邑[FHD],http://192.168.50.1:20231/rtp/239.21.2.130:5002
潍坊高新[FHD],http://192.168.50.1:20231/rtp/239.21.2.131:5002
历城,http://192.168.50.1:20231/rtp/239.21.2.132:5002
鱼台新闻[FHD],http://192.168.50.1:20231/rtp/239.21.2.134:5002
鱼台生活[FHD],http://192.168.50.1:20231/rtp/239.21.2.135:5002
河东综合[FHD],http://192.168.50.1:20231/rtp/239.21.2.136:5002
岱岳[FHD],http://192.168.50.1:20231/rtp/239.21.2.139:5002
任城1[FHD],http://192.168.50.1:20231/rtp/239.21.2.143:5002
任城2[FHD],http://192.168.50.1:20231/rtp/239.21.2.144:5002
招远综合[FHD],http://192.168.50.1:20231/rtp/239.21.2.145:5002
龙口综合[FHD],http://192.168.50.1:20231/rtp/239.21.2.146:5002
泰山,http://192.168.50.1:20231/rtp/239.21.2.147:5002
临沭综合,http://192.168.50.1:20231/rtp/239.21.2.154:5002
9屏同播[FHD],http://192.168.50.1:20231/rtp/239.21.1.203:5002
